date,idi
2026-05-19,2.53228857
2026-05-15,2.51868800
2026-05-14,2.49721232
2026-05-13,2.48652068
2026-05-12,2.46850100
2026-05-11,2.44672563
2026-05-08,2.44379324
2026-05-07,2.42897630
2026-05-06,2.41209183
2026-05-05,2.39580039
2026-05-04,2.39340725
2026-04-30,2.38150022
2026-04-29,2.37698430
2026-04-28,2.37224007
2026-04-27,2.36987039
2026-04-24,2.36561261
2026-04-23,2.36301365
2026-04-22,2.36018148
2026-04-21,2.35500066
2026-04-20,2.35264810
2026-04-17,2.34795226
2026-04-16,2.34560704
2026-04-15,2.33975790
2026-04-14,2.33508798
2026-04-13,2.33275546
2026-04-10,2.32926182
2026-04-09,2.32693517
2026-04-08,2.32229067
2026-04-07,2.31997086
2026-04-06,2.31765350
2026-04-01,2.31695829
2026-03-31,2.31672656
2026-03-30,2.30611852
2026-03-27,2.29054282
2026-03-26,2.28118977
2026-03-25,2.26196301
2026-03-24,2.24623918
2026-03-23,2.23461913
2026-03-20,2.22571635
2026-03-18,2.20739502
2026-03-17,2.19205057
2026-03-16,2.18440524
2026-03-13,2.16706854
2026-03-12,2.15585818
2026-03-11,2.14236126
2026-03-10,2.13276377
2026-03-09,2.11772781
2026-03-06,2.10719164
2026-03-05,2.09212831
2026-03-04,2.08109835
